;EXPER-FINAL-ALTERNATIVO-1-50000-LARS2019-LRTA - COMPLETE50;

Max Interval - Mean
;1;4;7;10;13;16;
RSearch-NCount;1.129,200000;593,200000;565,600000;537,200000;527,200000;523,200000;
RSearch-Vaw;537,800000;491,600000;480,200000;514,000000;504,200000;507,200000;
RSearch-LRTA*-unit;1.152,800000;353,400000;228,400000;180,800000;152,600000;133,600000;
RSearch-Full-LRTA*;239,200000;74,400000;46,800000;37,800000;31,400000;27,800000;
RSearch-w-NC(No,+,No);237,800000;92,800000;77,600000;65,800000;66,200000;69,200000;
RSearch-w-NC(No,+,Unit);50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;
RSearch-w-NC(No,+,Pmin);25.735,200000;24.846,000000;21.487,200000;26.433,600000;22.391,800000;26.228,200000;
RSearch-w-NC(No,+,Dmin);237,800000;92,800000;77,600000;65,800000;66,200000;69,200000;
RSearch-w-NC(Unit,+,No);239,200000;216,200000;243,400000;284,000000;320,800000;384,400000;
RSearch-w-NC(Unit,+,Unit);242,600000;135,600000;125,800000;129,800000;139,800000;145,000000;
RSearch-w-NC(Unit,+,Pmin);3.581,600000;3.628,200000;3.667,400000;3.675,200000;3.589,400000;3.631,200000;
RSearch-w-NC(Unit,+,Dmin);239,200000;216,200000;243,400000;284,000000;320,800000;384,400000;
RSearch-w-NC(Pmin,+,No);236,200000;92,400000;77,400000;70,800000;69,400000;68,600000;
RSearch-w-NC(Pmin,+,Unit);50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;
RSearch-w-NC(Pmin,+,Pmin);20.725,200000;21.754,000000;20.188,400000;17.917,000000;18.003,800000;18.786,800000;
RSearch-w-NC(Pmin,+,Dmin);236,200000;92,400000;77,400000;70,800000;69,400000;68,600000;
RSearch-w-NC(Dmin,+,No);237,800000;92,800000;77,600000;65,800000;66,200000;69,200000;
RSearch-w-NC(Dmin,+,Unit);50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;
RSearch-w-NC(Dmin,+,Pmin);25.735,200000;24.846,000000;21.487,200000;26.433,600000;22.391,800000;26.228,200000;
RSearch-w-NC(Dmin,+,Dmin);237,800000;92,800000;77,600000;65,800000;66,200000;69,200000;
RSearch-w-NC(No,x,No);24.723,600000;21.130,600000;21.808,400000;21.022,200000;18.236,800000;23.153,600000;
RSearch-w-NC(No,x,Unit);1.129,000000;646,200000;606,000000;579,000000;592,200000;555,800000;
RSearch-w-NC(No,x,Pmin);24.731,000000;20.886,600000;21.808,400000;20.207,400000;18.236,800000;23.153,600000;
RSearch-w-NC(No,x,Dmin);314,200000;118,000000;93,600000;92,400000;89,400000;92,400000;
RSearch-w-NC(Unit,x,No);49.800,400000;49.907,600000;49.946,200000;49.965,400000;49.985,200000;49.994,200000;
RSearch-w-NC(Unit,x,Unit);2.675,600000;683,000000;463,200000;385,800000;341,600000;322,000000;
RSearch-w-NC(Unit,x,Pmin);49.800,400000;49.907,600000;49.946,200000;49.965,400000;49.985,200000;49.994,200000;
RSearch-w-NC(Unit,x,Dmin);50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;
RSearch-w-NC(Pmin,x,No);24.723,600000;21.130,600000;21.808,400000;21.022,200000;18.236,800000;23.153,600000;
RSearch-w-NC(Pmin,x,Unit);1.129,000000;646,200000;606,000000;579,000000;592,200000;555,800000;
RSearch-w-NC(Pmin,x,Pmin);24.731,000000;20.886,600000;21.808,400000;20.207,400000;18.236,800000;23.153,600000;
RSearch-w-NC(Pmin,x,Dmin);314,200000;118,000000;93,600000;92,400000;89,400000;92,400000;
RSearch-w-NC(Dmin,x,No);30.210,800000;25.425,800000;23.667,000000;21.063,400000;25.253,600000;19.164,200000;
RSearch-w-NC(Dmin,x,Unit);1.129,000000;646,200000;606,000000;579,000000;592,200000;555,800000;
RSearch-w-NC(Dmin,x,Pmin);30.210,800000;25.425,800000;24.177,600000;23.457,600000;25.253,600000;18.358,400000;
RSearch-w-NC(Dmin,x,Dmin);326,400000;129,200000;99,600000;95,800000;92,600000;94,200000;
RSearch-w-Vaw(No,+,No);119,800000;174,400000;228,600000;232,400000;253,800000;225,800000;
RSearch-w-Vaw(No,+,Unit);50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;48.856,200000;
RSearch-w-Vaw(No,+,Pmin);26.978,600000;20.471,000000;21.397,800000;22.526,400000;22.334,600000;22.308,600000;
RSearch-w-Vaw(No,+,Dmin);119,800000;174,400000;228,600000;232,400000;253,800000;225,800000;
RSearch-w-Vaw(Unit,+,No);111,000000;422,800000;386,800000;427,200000;437,600000;464,800000;
RSearch-w-Vaw(Unit,+,Unit);138,000000;161,000000;158,800000;157,400000;146,800000;153,600000;
RSearch-w-Vaw(Unit,+,Pmin);4.615,600000;3.323,800000;3.699,600000;4.109,800000;3.300,200000;2.856,400000;
RSearch-w-Vaw(Unit,+,Dmin);111,000000;422,800000;386,800000;427,200000;437,600000;464,800000;
RSearch-w-Vaw(Pmin,+,No);116,400000;155,000000;203,800000;250,200000;239,400000;252,400000;
RSearch-w-Vaw(Pmin,+,Unit);50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;48.856,200000;
RSearch-w-Vaw(Pmin,+,Pmin);26.488,800000;20.282,000000;23.966,800000;22.141,800000;22.595,600000;22.085,600000;
RSearch-w-Vaw(Pmin,+,Dmin);116,400000;155,000000;203,800000;250,200000;239,400000;252,400000;
RSearch-w-Vaw(Dmin,+,No);119,800000;174,400000;228,600000;232,400000;253,800000;225,800000;
RSearch-w-Vaw(Dmin,+,Unit);50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;48.856,200000;
RSearch-w-Vaw(Dmin,+,Pmin);26.978,600000;20.471,000000;21.397,800000;22.526,400000;22.334,600000;22.308,600000;
RSearch-w-Vaw(Dmin,+,Dmin);119,800000;174,400000;228,600000;232,400000;253,800000;225,800000;
RSearch-w-Vaw(No,x,No);25.951,600000;24.054,200000;23.103,000000;23.624,200000;22.226,000000;21.860,200000;
RSearch-w-Vaw(No,x,Unit);557,800000;477,200000;515,600000;495,000000;538,400000;512,000000;
RSearch-w-Vaw(No,x,Pmin);25.951,600000;24.054,200000;23.103,000000;23.624,200000;22.226,000000;21.860,200000;
RSearch-w-Vaw(No,x,Dmin);105,200000;250,600000;329,200000;310,800000;327,200000;328,600000;
RSearch-w-Vaw(Unit,x,No);49.800,400000;49.907,600000;49.946,200000;49.965,400000;49.985,200000;49.994,200000;
RSearch-w-Vaw(Unit,x,Unit);650,800000;283,200000;211,600000;171,400000;147,400000;137,600000;
RSearch-w-Vaw(Unit,x,Pmin);49.800,400000;49.907,600000;49.946,200000;49.965,400000;49.985,200000;49.994,200000;
RSearch-w-Vaw(Unit,x,Dmin);50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;
RSearch-w-Vaw(Pmin,x,No);25.951,600000;24.054,200000;23.103,000000;23.624,200000;22.226,000000;21.860,200000;
RSearch-w-Vaw(Pmin,x,Unit);557,800000;477,200000;515,600000;495,000000;538,400000;512,000000;
RSearch-w-Vaw(Pmin,x,Pmin);25.951,600000;24.054,200000;23.103,000000;23.624,200000;22.226,000000;21.860,200000;
RSearch-w-Vaw(Pmin,x,Dmin);105,200000;250,600000;329,200000;310,800000;327,200000;328,600000;
RSearch-w-Vaw(Dmin,x,No);25.972,000000;21.928,200000;23.108,400000;23.569,800000;24.121,800000;22.064,600000;
RSearch-w-Vaw(Dmin,x,Unit);557,800000;477,200000;515,600000;495,000000;538,400000;512,000000;
RSearch-w-Vaw(Dmin,x,Pmin);25.972,000000;21.928,200000;23.108,400000;23.569,800000;24.121,800000;22.064,600000;
RSearch-w-Vaw(Dmin,x,Dmin);105,000000;291,200000;298,400000;356,000000;323,400000;323,200000;


Max Interval - StdDev
;1;4;7;10;13;16;
RSearch-NCount;21,775215;21,442015;26,829834;1,833030;8,975522;9,724197;
RSearch-Vaw;15,367498;47,314268;31,977492;33,704599;22,193693;11,973304;
RSearch-LRTA*-unit;27,257293;9,329523;2,653300;3,059412;1,743560;1,624808;
RSearch-Full-LRTA*;10,833282;2,800000;0,748331;1,166190;1,200000;0,400000;
RSearch-w-NC(No,+,No);7,547185;5,564171;5,885576;2,481935;2,227106;4,534314;
RSearch-w-NC(No,+,Unit);0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
RSearch-w-NC(No,+,Pmin);2.186,374753;3.172,317954;3.495,394536;2.263,591712;6.245,801387;3.989,102175;
RSearch-w-NC(No,+,Dmin);7,547185;5,564171;5,885576;2,481935;2,227106;4,534314;
RSearch-w-NC(Unit,+,No);7,110556;8,352245;5,607138;14,268847;15,354478;15,512576;
RSearch-w-NC(Unit,+,Unit);5,535341;3,200000;3,867816;8,726970;15,892136;9,359487;
RSearch-w-NC(Unit,+,Pmin);237,241312;264,239588;299,491302;79,353387;71,982220;460,603691;
RSearch-w-NC(Unit,+,Dmin);7,110556;8,352245;5,607138;14,268847;15,354478;15,512576;
RSearch-w-NC(Pmin,+,No);8,207314;5,314132;5,083306;3,059412;1,743560;2,727636;
RSearch-w-NC(Pmin,+,Unit);0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
RSearch-w-NC(Pmin,+,Pmin);2.022,880461;4.188,567822;3.381,792578;2.615,125848;4.183,612190;2.605,707919;
RSearch-w-NC(Pmin,+,Dmin);8,207314;5,314132;5,083306;3,059412;1,743560;2,727636;
RSearch-w-NC(Dmin,+,No);7,547185;5,564171;5,885576;2,481935;2,227106;4,534314;
RSearch-w-NC(Dmin,+,Unit);0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
RSearch-w-NC(Dmin,+,Pmin);2.186,374753;3.172,317954;3.495,394536;2.263,591712;6.245,801387;3.989,102175;
RSearch-w-NC(Dmin,+,Dmin);7,547185;5,564171;5,885576;2,481935;2,227106;4,534314;
RSearch-w-NC(No,x,No);1.863,713454;2.719,873718;2.756,166439;2.995,108506;4.895,593178;2.340,083127;
RSearch-w-NC(No,x,Unit);32,459205;47,317650;21,382236;37,159117;25,007199;24,424578;
RSearch-w-NC(No,x,Pmin);1.862,232639;2.740,571809;2.756,166439;1.692,887309;4.895,593178;2.340,083127;
RSearch-w-NC(No,x,Dmin);12,155657;3,405877;5,314132;4,758151;5,607138;6,019967;
RSearch-w-NC(Unit,x,No);6,019967;46,787178;29,294368;18,445596;18,225257;11,600000;
RSearch-w-NC(Unit,x,Unit);571,124365;46,480103;19,538680;17,010585;17,130090;22,565460;
RSearch-w-NC(Unit,x,Pmin);6,019967;46,787178;29,294368;18,445596;18,225257;11,600000;
RSearch-w-NC(Unit,x,Dmin);0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
RSearch-w-NC(Pmin,x,No);1.863,713454;2.719,873718;2.756,166439;2.995,108506;4.895,593178;2.340,083127;
RSearch-w-NC(Pmin,x,Unit);32,459205;47,317650;21,382236;37,159117;25,007199;24,424578;
RSearch-w-NC(Pmin,x,Pmin);1.862,232639;2.740,571809;2.756,166439;1.692,887309;4.895,593178;2.340,083127;
RSearch-w-NC(Pmin,x,Dmin);12,155657;3,405877;5,314132;4,758151;5,607138;6,019967;
RSearch-w-NC(Dmin,x,No);850,105264;4.804,830669;3.933,998119;5.615,635622;4.038,014988;10.406,232794;
RSearch-w-NC(Dmin,x,Unit);32,459205;47,317650;21,382236;37,159117;25,007199;24,424578;
RSearch-w-NC(Dmin,x,Pmin);850,105264;4.804,830669;3.956,623945;6.094,471252;4.038,014988;10.122,103449;
RSearch-w-NC(Dmin,x,Dmin);28,118321;10,684568;12,626955;4,955805;4,715930;3,655133;
RSearch-w-Vaw(No,+,No);20,488045;21,832086;45,058185;12,595237;43,101740;25,887449;
RSearch-w-Vaw(No,+,Unit);0,000000;0,000000;0,000000;0,000000;0,000000;1.282,833333;
RSearch-w-Vaw(No,+,Pmin);2.626,542031;2.543,806203;2.576,247302;1.590,456362;1.494,244906;513,362484;
RSearch-w-Vaw(No,+,Dmin);20,488045;21,832086;45,058185;12,595237;43,101740;25,887449;
RSearch-w-Vaw(Unit,+,No);12,553884;39,224482;42,602347;23,726778;25,562472;15,917286;
RSearch-w-Vaw(Unit,+,Unit);28,809721;14,449913;14,469278;4,409082;13,891004;18,282232;
RSearch-w-Vaw(Unit,+,Pmin);93,240764;1.039,514002;969,046046;827,844285;1.020,287489;706,576422;
RSearch-w-Vaw(Unit,+,Dmin);12,553884;39,224482;42,602347;23,726778;25,562472;15,917286;
RSearch-w-Vaw(Pmin,+,No);19,396907;23,815961;50,877893;27,505636;21,490463;21,039011;
RSearch-w-Vaw(Pmin,+,Unit);0,000000;0,000000;0,000000;0,000000;0,000000;1.282,833333;
RSearch-w-Vaw(Pmin,+,Pmin);3.938,104285;2.021,151355;4.290,905844;2.017,109060;1.301,367681;1.310,788557;
RSearch-w-Vaw(Pmin,+,Dmin);19,396907;23,815961;50,877893;27,505636;21,490463;21,039011;
RSearch-w-Vaw(Dmin,+,No);20,488045;21,832086;45,058185;12,595237;43,101740;25,887449;
RSearch-w-Vaw(Dmin,+,Unit);0,000000;0,000000;0,000000;0,000000;0,000000;1.282,833333;
RSearch-w-Vaw(Dmin,+,Pmin);2.626,542031;2.543,806203;2.576,247302;1.590,456362;1.494,244906;513,362484;
RSearch-w-Vaw(Dmin,+,Dmin);20,488045;21,832086;45,058185;12,595237;43,101740;25,887449;
RSearch-w-Vaw(No,x,No);3.238,695824;3.910,164160;1.435,609278;502,338691;2.320,857859;2.772,316317;
RSearch-w-Vaw(No,x,Unit);9,516302;24,127992;42,145462;26,743223;20,635891;15,453155;
RSearch-w-Vaw(No,x,Pmin);3.238,695824;3.910,164160;1.435,609278;502,338691;2.320,857859;2.772,316317;
RSearch-w-Vaw(No,x,Dmin);12,237647;34,759747;19,752468;26,768638;11,249889;26,755186;
RSearch-w-Vaw(Unit,x,No);6,019967;46,787178;29,294368;18,445596;18,225257;11,600000;
RSearch-w-Vaw(Unit,x,Unit);21,141429;12,671227;5,851496;5,083306;4,270831;5,851496;
RSearch-w-Vaw(Unit,x,Pmin);6,019967;46,787178;29,294368;18,445596;18,225257;11,600000;
RSearch-w-Vaw(Unit,x,Dmin);0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
RSearch-w-Vaw(Pmin,x,No);3.238,695824;3.910,164160;1.435,609278;502,338691;2.320,857859;2.772,316317;
RSearch-w-Vaw(Pmin,x,Unit);9,516302;24,127992;42,145462;26,743223;20,635891;15,453155;
RSearch-w-Vaw(Pmin,x,Pmin);3.238,695824;3.910,164160;1.435,609278;502,338691;2.320,857859;2.772,316317;
RSearch-w-Vaw(Pmin,x,Dmin);12,237647;34,759747;19,752468;26,768638;11,249889;26,755186;
RSearch-w-Vaw(Dmin,x,No);3.230,912379;1.443,312218;1.438,918566;447,955534;3.102,757767;2.581,195816;
RSearch-w-Vaw(Dmin,x,Unit);9,516302;24,127992;42,145462;26,743223;20,635891;15,453155;
RSearch-w-Vaw(Dmin,x,Pmin);3.230,912379;1.443,312218;1.438,918566;447,955534;3.102,757767;2.581,195816;
RSearch-w-Vaw(Dmin,x,Dmin);12,181954;40,285978;59,176347;40,904767;50,555316;18,808509;


QMI - Mean
;1;4;7;10;13;16;
RSearch-NCount;408,196168;117,316506;75,931776;59,005566;50,091323;43,745452;
RSearch-Vaw;377,539530;168,884682;123,324149;108,452992;94,158646;83,775487;
RSearch-LRTA*-unit;407,950378;111,847837;67,708822;49,450442;39,239955;32,797661;
RSearch-Full-LRTA*;50,737018;13,696490;8,282482;6,044654;4,817664;4,043979;
RSearch-w-NC(No,+,No);57,691802;15,820699;9,964291;7,684387;6,496850;5,800334;
RSearch-w-NC(No,+,Unit);947,004729;155,737785;113,810993;90,430477;79,401746;58,265426;
RSearch-w-NC(No,+,Pmin);234,907140;98,456486;67,518499;51,340442;47,936931;48,502943;
RSearch-w-NC(No,+,Dmin);57,691802;15,820699;9,964291;7,684387;6,496850;5,800334;
RSearch-w-NC(Unit,+,No);76,800765;33,264417;29,001408;28,737834;30,471252;34,699852;
RSearch-w-NC(Unit,+,Unit);76,773770;24,076093;16,508696;13,490151;11,788164;10,761048;
RSearch-w-NC(Unit,+,Pmin);108,915692;45,582595;32,034210;26,273577;22,984434;21,648713;
RSearch-w-NC(Unit,+,Dmin);76,800765;33,264417;29,001408;28,737834;30,471252;34,699852;
RSearch-w-NC(Pmin,+,No);57,793892;15,943666;10,082396;7,804194;6,591669;5,888703;
RSearch-w-NC(Pmin,+,Unit);947,004729;155,737785;113,810993;90,430477;79,401746;58,265426;
RSearch-w-NC(Pmin,+,Pmin);226,079658;94,876627;66,275440;50,474500;43,928926;42,209388;
RSearch-w-NC(Pmin,+,Dmin);57,793892;15,943666;10,082396;7,804194;6,591669;5,888703;
RSearch-w-NC(Dmin,+,No);57,691802;15,820699;9,964291;7,684387;6,496850;5,800334;
RSearch-w-NC(Dmin,+,Unit);947,004729;155,737785;113,810993;90,430477;79,401746;58,265426;
RSearch-w-NC(Dmin,+,Pmin);234,907140;98,456486;67,518499;51,340442;47,936931;48,502943;
RSearch-w-NC(Dmin,+,Dmin);57,691802;15,820699;9,964291;7,684387;6,496850;5,800334;
RSearch-w-NC(No,x,No);247,125664;101,800278;65,526520;45,666922;46,884076;42,579366;
RSearch-w-NC(No,x,Unit);399,241199;123,097960;81,922571;64,401564;53,854189;46,709515;
RSearch-w-NC(No,x,Pmin);247,131156;101,621468;65,526520;44,739767;46,884076;42,579366;
RSearch-w-NC(No,x,Dmin);59,941673;17,036776;11,172652;8,865712;7,705370;7,085162;
RSearch-w-NC(Unit,x,No);318,254740;158,273380;119,568867;100,019090;87,746391;79,105983;
RSearch-w-NC(Unit,x,Unit);369,557444;101,760523;62,633516;45,701535;36,117199;29,804677;
RSearch-w-NC(Unit,x,Pmin);318,254740;158,273380;119,568867;100,019090;87,746391;79,105983;
RSearch-w-NC(Unit,x,Dmin);474,394174;149,255179;112,675674;100,074892;77,493037;65,214694;
RSearch-w-NC(Pmin,x,No);247,125664;101,800278;65,526520;45,666922;46,884076;42,579366;
RSearch-w-NC(Pmin,x,Unit);399,241199;123,097960;81,922571;64,401564;53,854189;46,709515;
RSearch-w-NC(Pmin,x,Pmin);247,131156;101,621468;65,526520;44,739767;46,884076;42,579366;
RSearch-w-NC(Pmin,x,Dmin);59,941673;17,036776;11,172652;8,865712;7,705370;7,085162;
RSearch-w-NC(Dmin,x,No);255,636472;111,456427;75,943346;50,304725;46,698035;37,924133;
RSearch-w-NC(Dmin,x,Unit);399,241199;123,097960;81,922571;64,401564;53,854189;46,709515;
RSearch-w-NC(Dmin,x,Pmin);255,636472;111,456427;74,839484;48,348643;46,698035;36,413875;
RSearch-w-NC(Dmin,x,Dmin);59,689978;16,944570;11,051471;8,790263;7,662389;7,030380;
RSearch-w-Vaw(No,+,No);79,891091;60,766627;56,974225;45,906207;44,230545;36,779624;
RSearch-w-Vaw(No,+,Unit);936,923016;122,427878;85,641106;71,646999;62,851050;55,420151;
RSearch-w-Vaw(No,+,Pmin);330,778585;67,013398;51,694157;38,944291;34,258116;31,685502;
RSearch-w-Vaw(No,+,Dmin);79,891091;60,766627;56,974225;45,906207;44,230545;36,779624;
RSearch-w-Vaw(Unit,+,No);78,355209;144,446004;101,003121;89,667024;84,190890;79,199982;
RSearch-w-Vaw(Unit,+,Unit);70,918791;35,871683;28,161099;23,230902;20,700067;18,095256;
RSearch-w-Vaw(Unit,+,Pmin);136,132389;43,119537;39,849658;38,203854;24,934058;18,681234;
RSearch-w-Vaw(Unit,+,Dmin);78,355209;144,446004;101,003121;89,667024;84,190890;79,199982;
RSearch-w-Vaw(Pmin,+,No);79,746782;51,891589;52,324951;52,976610;41,096715;37,301651;
RSearch-w-Vaw(Pmin,+,Unit);936,923016;122,420768;85,641106;71,646999;62,851050;55,422437;
RSearch-w-Vaw(Pmin,+,Pmin);330,287734;62,541579;68,024964;38,808301;34,324346;31,121733;
RSearch-w-Vaw(Pmin,+,Dmin);79,746782;51,891589;52,324951;52,976610;41,096715;37,301651;
RSearch-w-Vaw(Dmin,+,No);79,891091;60,766627;56,974225;45,906207;44,230545;36,779624;
RSearch-w-Vaw(Dmin,+,Unit);936,923016;122,427878;85,641106;71,646999;62,851050;55,420151;
RSearch-w-Vaw(Dmin,+,Pmin);330,778585;67,013398;51,694157;38,944291;34,258116;31,685502;
RSearch-w-Vaw(Dmin,+,Dmin);79,891091;60,766627;56,974225;45,906207;44,230545;36,779624;
RSearch-w-Vaw(No,x,No);325,308828;113,731751;62,727197;39,678009;43,517755;31,278944;
RSearch-w-Vaw(No,x,Unit);391,580534;163,326508;132,071200;107,196945;100,270343;84,652640;
